T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
2.3400	0.0000	0.0000	-2.0000	-0.5240	0.0000	0.0000	0.0000	0.0000	0.0000
2.3500	0.0000	0.0000	-2.0000	-0.5225	0.0000	0.0000	0.0000	0.0000	0.0000
2.3600	0.0000	0.0000	-2.0000	-0.5210	0.0000	0.0000	0.0000	0.0000	0.0000
2.3700	0.0000	0.0000	-2.0000	-0.5195	0.0000	0.0000	0.0000	0.0000	0.0000
2.3800	0.0000	0.0000	-2.0000	-0.5180	0.0000	0.0000	0.0000	0.0000	0.0000
2.3900	0.0000	0.0000	-2.0000	-0.5165	0.0000	0.0000	0.0000	0.0000	0.0000
2.4000	0.0000	0.0000	-2.0000	-0.5150	0.0000	0.0000	0.0000	0.0000	0.0000
2.4100	0.0000	0.0000	-2.0000	-0.5135	0.0000	0.0000	0.0000	0.0000	0.0000
2.4200	0.0000	0.0000	-2.0000	-0.5120	0.0000	0.0000	0.0000	0.0000	0.0000
2.4300	0.0000	0.0000	-2.0000	-0.5105	0.0000	0.0000	0.0000	0.0000	0.0000
2.4400	0.0000	0.0000	-2.0000	-0.5090	0.0000	0.0000	0.0000	0.0000	0.0000
2.4500	0.0000	0.0000	-2.0000	-0.5075	0.0000	0.0000	0.0000	0.0000	0.0000
2.4600	0.0000	0.0000	-2.0000	-0.5060	0.0000	0.0000	0.0000	0.0000	0.0000
2.4700	0.0000	0.0000	-2.0000	-0.5045	0.0000	0.0000	0.0000	0.0000	0.0000
2.4800	0.0000	0.0000	-2.0000	-0.5030	0.0000	0.0000	0.0000	0.0000	0.0000
2.4900	0.0000	0.0000	-2.0000	-0.5015	0.0000	0.0000	0.0000	0.0000	0.0000
2.5000	0.0000	0.0000	-2.0000	-0.5000	0.0000	0.0000	0.0000	0.0000	0.0000
2.5100	0.0000	0.0000	-2.0000	-0.4985	0.0000	0.0000	0.0000	0.0000	0.0000
2.5200	0.0000	0.0000	-2.0000	-0.4970	0.0000	0.0000	0.0000	0.0000	0.0000
2.5300	0.0000	0.0000	-2.0000	-0.4955	0.0000	0.0000	0.0000	0.0000	0.0000
2.5400	0.0000	0.0000	-2.0000	-0.4940	0.0000	0.0000	0.0000	0.0000	0.0000
2.5500	0.0000	0.0000	-2.0000	-0.4925	0.0000	0.0000	0.0000	0.0000	0.0000
2.5600	0.0000	0.0000	-2.0000	-0.4910	0.0000	0.0000	0.0000	0.0000	0.0000
2.5700	0.0000	0.0000	-2.0000	-0.4895	0.0000	0.0000	0.0000	0.0000	0.0000
2.5800	0.0000	0.0000	-2.0000	-0.4880	0.0000	0.0000	0.0000	0.0000	0.0000
2.5900	0.0000	0.0000	-2.0000	-0.4865	0.0000	0.0000	0.0000	0.0000	0.0000
2.6000	0.0000	0.0000	-2.0000	-0.4850	0.0000	0.0000	0.0000	0.0000	0.0000
2.6100	0.0000	0.0000	-2.0000	-0.4835	0.0000	0.0000	0.0000	0.0000	0.0000
2.6200	0.0000	0.0000	-2.0000	-0.4820	0.0000	0.0000	0.0000	0.0000	0.0000
2.6300	0.0000	0.0000	-2.0000	-0.4805	0.0000	0.0000	0.0000	0.0000	0.0000
2.6400	0.0000	0.0000	-2.0000	-0.4790	0.0000	0.0000	0.0000	0.0000	0.0000
2.6500	0.0000	0.0000	-2.0000	-0.4775	0.0000	0.0000	0.0000	0.0000	0.0000
